feedback,sentiment,nps,service_advisor_name,brand_name,branch,date,promoters,passive,detractor,category,topic
Thank you very much.,positive,10,Ronaldo P.,,,2023-07-05,1,0,0,,
Looking forward for help in future.,positive,9,Mohamed Mohsen,,,2023-07-05,1,0,0,,
Reduce the cost.,negative,8,Vivian Rodricks,,,2023-07-05,0,1,0,,
Lower prices. Car repairs have not been completed due to the high cost of the service,negative,10,Mohamed ElWazir,,,2023-07-05,1,0,0,,
Nothing to add,negative,10,Nikhil Karnad,,,2023-07-05,1,0,0,,
Service report should be given. I did not receive any for my recent service.,negative,10,Nikhil Karnad,,,2023-07-05,1,0,0,,
Don’t lie and play round with the customer. Be straight forward. Giving lame excuses for everything is not acceptable. Have been using Nissan Service since 2 years and this time it was very disappointing.,negative,2,Nabeel A.,,,2023-07-05,0,0,1,,
"Very bad experience as the problem was repeated several times!! A new and unused car has been purchased. How can the problem be repeated twice in a short period of time? 
Mishandling and delay in diagnosing the car. I shared a video of the problem with the maintenance team to believe the problem!! I am asked to do a test with the maintenance team to find out the problem!! Do your technicians really have this level of expertise? ",negative,2,Mohammed Osman,,,2023-07-05,0,0,1,,
Exckent man have good excoerinse and helpfull and freadly,positive,10,Anandhakrishnan,,,2023-07-06,1,0,0,,
"Thank you, the service is excellent ",positive,10,Charbel Semaan,,,2023-07-06,1,0,0,,
Thank you..,positive,10,Faisal AliAhmed,,,2023-07-06,1,0,0,,
"I have a manufacturing defect in the back door, which led to rust. The car is under warranty and has not been painted.
2 Change the change in the color of the leather of the back chair 
3. The price of spare parts is 20% and the labor force is 80%, which led to an increase in the total invoice value 0506911159",negative,10,Mohd Noureldin,,,2023-07-06,1,0,0,,
Very good services and team are cooperative,positive,10,Harish V.,,,2023-07-07,1,0,0,,
"I am very satisfied about the service consultant and the service itself 
Thank you for keeping such kind of professional Team ",positive,10,Mohd Noureldin,,,2023-07-07,1,0,0,,
I would like to commend Mr. Charbel Semaan of Al Masaood Al Ain Service Center. From the time I arrived in the center until finish of the appointment he made sure of great service provided to me and my car.,positive,10,Charbel Semaan,,,2023-07-07,1,0,0,,
I have a complaint about the vehicle,negative,10,Mohamed Mohsen,,,2023-07-07,1,0,0,,
"Drop off service should be free of charge.
",negative,9,Nabeel A.,,,2023-07-07,1,0,0,,
Delay in counters and lack of respect for customers despite respect for Al Masaood's laws and policies regarding periodic inspection of vehicle warranty,negative,0,Abuthahir T.S.,,,2023-07-07,0,0,1,,
Al Masood team for car service are extremely perfect,positive,9,Marshood TP,,,2023-07-08,1,0,0,,
Thank you very much,positive,10,Mohamed Mohsen,,,2023-07-08,1,0,0,,
I’d like to thank all your team for their excellent service especially Mr. Faisal Al Shamsi.,positive,10,Faisal AliAhmed,,,2023-07-08,1,0,0,,
Amazing service experience,positive,10,Md Sekander,,,2023-07-08,1,0,0,,
Paying attention to the customer and increasing the number of drivers you have to bring cars,positive,1,Anandhakrishnan,,,2023-07-08,0,0,1,,
"Dealing with customers is very good, but I have a note when I received the car, it was clear why there was no cleaning inside. In terms of developing services, I suggest that you send an email to the customer to remind him of the appointment or receive his car. I also suggest setting appropriate prices in order to continue to serve the car maintenance and make offers to the customer",positive,8,Charbel Semaan,,,2023-07-08,0,1,0,,
"It is preferable to add a service to deliver or receive the car from home instead of the car owner going to the workshop 
Especially in maintenance up to 60 thousand free of charge or at a reduced price ",negative,10,Faisal AliAhmed,,,2023-07-08,1,0,0,,
"I had a problem in the speaker and they told me this normal and cant do anything 
The sound still have a proboem since day one of recieving my car 👎",negative,0,Nabeel A.,,,2023-07-08,0,0,1,,
Wheel alignment was not done. Vehicle pulling to right side while test driving hands off the steering wheel. Wheel alignment should be part of the package.,negative,4,Marla Nunez,,,2023-07-08,0,0,1,,
Excellent work,positive,10,Mohamed ElWazir,,,2023-07-09,1,0,0,,
"Excellent, Marla Nunez did a very professional job. Great !!!",positive,10,Marla Nunez,,,2023-07-10,1,0,0,,
Pick up and bring back the car would be good.,negative,10,Charbel Semaan,,,2023-07-10,1,0,0,,
Increase work shifts,negative,10,Faisal AliAhmed,,,2023-07-10,1,0,0,,
I dont see al masood is trustworthy. But no other go,negative,0,Nabeel A.,,,2023-07-10,0,0,1,,
" Servicing Prices to be reduced it is too high 

",negative,10,Nabeel A.,,,2023-07-10,1,0,0,,
"I didn’t receive the report can you send to my email 

Fahdbinali@gmail.com",negative,10,Ronaldo P.,,,2023-07-10,1,0,0,,
"Sorry to say that its the worst customer service i ever seen. For a big company like Nissan they should provide training for their employees on customer care and how to deal with them.
I was planning to buy new nissan patrol and now i am going for other brand",negative,0,Ronaldo P.,,,2023-07-10,0,0,1,,
"Must provide pick and drop service to the customers who need it to the service center to destination. 
Need explanation of what covered under each free services which have completed by company! ",positive,10,Nabeel A.,,,2023-07-11,1,0,0,,
There is no,positive,10,Harish V.,,,2023-07-11,1,0,0,,
Please call: to explain the level of service 0509994441,positive,0,Mohamed Mohsen,,,2023-07-11,0,0,1,,
Ensure that repairs are completed correctly before delivering the car to the customer,negative,9,Faisal AliAhmed,,,2023-07-11,1,0,0,,
All thanks and appreciation to brother Faisal Al Shamsi for the good reception and the assistant team,positive,10,Faisal AliAhmed,,,2023-07-12,1,0,0,,
To be honest with you everything is perfect and I think I can add it to your team. Thank you very much for the best service.,positive,10,Marla Nunez,,,2023-07-12,1,0,0,,
I thank brother Faisal Al Shamsi for the quick service he has provided,positive,10,Faisal AliAhmed,,,2023-07-12,1,0,0,,
"Charbel Semaan is great representative for Al Masaood, if I have any problems. I call him right away and he arranges a time for me to deliver my truck. He explains things well to me 👍🏽",positive,10,Charbel Semaan,,,2023-07-12,1,0,0,,
Mr tasse and mr sbarbal we’re very helpful and excellent 😊😊😊,positive,10,Charbel Semaan,,,2023-07-12,1,0,0,,
"Oil and filter replacement for 740 dirhams!! 

The price is very exaggerated, even if there is a more reasonable job. But swapping oil for this amount is fantastic. ",positive,0,Mohammed Osman,,,2023-07-12,0,0,1,,
"If it is possible to reduce the prices of some services provided, it is better. Thank you for your question ",positive,10,Marla Nunez,,,2023-07-12,1,0,0,,
The customer service was great from Merla but I had an issue with the car sound/clicking when reverse and the technician should repair (just add lubrication) it after I went home I found the same sound again. The car is 2020 pathfinder model and meter is only 22 thousands meres,negative,5,Marla Nunez,,,2023-07-12,0,0,1,,
Reminder for the next visit before one week,negative,9,Mohamed Mohsen,,,2023-07-12,1,0,0,,
"Mr. Minas is a true professional and he took time to explain the concerns and ensured that it was fixed within the shortest possible time frame.
He was very courteous and polite while being effective and efficient at the same time. The experience was a very positive one.",positive,10,Minas Elie C.,,,2023-07-13,1,0,0,,
"I extend my thanks and appreciation to Al Masaood management for taking care of their customers. I especially thank the employee Mr.Harish Venugopalan for his high professionalism, good judgment, respect, interest in the car and his follow-up... 
Thank you all ",positive,10,Harish V.,,,2023-07-13,1,0,0,,
Thank you very much. Thank you very much.,positive,10,Mohamed Mohsen,,,2023-07-13,1,0,0,,
wonderful experience,positive,10,Mahmoud Wahhab,,,2023-07-13,1,0,0,,
I would like to thank Mubarak Al-Amiri for his very elegant and quick treatment. All thanks to him,positive,10,Marla Nunez,,,2023-07-13,1,0,0,,
"When compared with the other premium vehicle service dealings,infinity needs to improve a lot in all areas.",positive,5,Mahmoud Wahhab,,,2023-07-13,0,0,1,,
By giving the questionnaire as soon as possible,positive,10,Salwa Rboub,,,2023-07-13,1,0,0,,
"Complete service with a lower cost, if possible ",positive,8,Mahmoud Wahhab,,,2023-07-13,0,1,0,,
Reduction of service fees provided,negative,9,Mohamed Mohsen,,,2023-07-13,1,0,0,,
"The company needs to review and enhance the service process and job elements within the service contract coverages which works with the customer needs.
Increase the Manpower to enhance the service productivity as they can't do multi task required for the cars due to shortage of Manpower and they postponeding the required job to the next service duration, this is not acceptable for me as a customer and I'm not recommending and will not renew my contract with your company.
Thanks ",negative,0,Khalil Rahman,,,2023-07-13,0,0,1,,
Good quality service and excellent staff.,positive,9,Mohammed Osman,,,2023-07-14,1,0,0,,
Thank you for the excellent service,positive,10,Faisal AliAhmed,,,2023-07-14,1,0,0,,
Thank you to the Service Advisor Brother Mohamed Osman for his quick response. I have a suggestion regarding the service report. Is it possible to attach it to the mobile phone program as well as the reports will be available in the mobile program in the future as my reference,positive,10,Mohammed Osman,,,2023-07-14,1,0,0,,
Service report should me provided.,negative,10,Nikhil Karnad,,,2023-07-14,1,0,0,,
"Again, Al Masaood did not fail in disappointing me again. 
Very bad service.
Non-responsive staff starting from top management. 
No one cares.
Wasting of money.
Wasting of time.
I am paying money from my pocket because of your faults.
It is such a horrible experience. I have not experienced this bad experience ever in my life but with Al Masaood. 
I can’t find the words to describe my feelings and disappointment. This experience will never be repeated and I am gonna share this horrible experience with all my friends. My recommendation to anyone that I may see in my life is to stay away from Al Masaood.",negative,0,Nikhil Karnad,,,2023-07-14,0,0,1,,
"Easy communication with the technician for inquiries and matters related to regular maintenance. Thanks, appreciation and respect. 0501001654",positive,10,Mohamed ElWazir,,,2023-07-15,1,0,0,,
"Please kindly pass on my thanks, appreciation and gratitude to Mr Mahmoud. He was extremely professional, polite and helpful and he is a great credit to your company",positive,10,Mahmoud Wahhab,,,2023-07-15,1,0,0,,
"Ensure rhe customer requirements coverd and the service done clear with evidence 
",positive,4,Abuthahir T.S.,,,2023-07-15,0,0,1,,
"The service center is in a very good condition. Staff and center manager are very helpful and professional. It was an overall pleasant experience.
Note: please fix the internet / wifi service.
Thank you ",positive,10,Mohamed Mohsen,,,2023-07-15,1,0,0,,
Everything was great,positive,10,Mahmoud Wahhab,,,2023-07-15,1,0,0,,
Everything was excellent,positive,10,Marla Nunez,,,2023-07-15,1,0,0,,
He deserve the high rating,positive,10,Mohamed ElWazir,,,2023-07-15,1,0,0,,
"The future of the service on the reception takes a very long time to finish one customer and start another service.
This time can be invested much better than that.
Saturday and Sunday is an important day for customers as many of them perform the required maintenance of the car. Therefore, it is necessary to increase the number of service recipients and make them full working days.",positive,6,Muhammad Habib,,,2023-07-15,0,0,1,,
"I noticed in my last visit that If the customer is reaching the service center early, the service advisor is not willing to accept receiving a customer",negative,10,Javad Amiri,,,2023-07-15,1,0,0,,
We suggest that there be a car service for customers to deliver them to their homes when the customer's car is brought to the workshop free of charge,negative,10,Mohamed Mohsen,,,2023-07-15,1,0,0,,
Parts are not available,negative,10,Mohammed Osman,,,2023-07-15,1,0,0,,
Dealing is unprofessional and there is no documentation of any maintenance or service provided. The experience was very bad,negative,10,Harish V.,,,2023-07-15,1,0,0,,
They are very good and helpful,positive,10,Muhammad Habib,,,2023-07-17,1,0,0,,
Excellent keep it up !,positive,10,Imane Sehnani,,,2023-07-17,1,0,0,,
"As I could not book the car maintenance as per the original planning, I will appreciate if Nissan remind me the timing of the next car maintenance through SMS and so in.",negative,10,Janidu Harindra,,,2023-07-17,1,0,0,,
Things should be well tested before handing. Door protection stickers are badly done and peeling off after 300km. Navigation screen blacks out when using . This paddle shifters at 7th gear,negative,8,Harish V.,,,2023-07-17,0,1,0,,
"The car was well maintained, but I was informed after the maintenance and at the time of delivery that traffic should change!! I should be notified before the maintenance is completed and not after.",negative,6,Mohammed Osman,,,2023-07-17,0,0,1,,
When service time due and car will stay more than 2 days at least customer need to get second car till service car finished,negative,10,Shathe Kno,,,2023-07-17,1,0,0,,
"Wheel alignment if off, I’m disappointed as they took an extra day to complete it. They should have made sure to extensively test the alignment before delivering the car back to me. ",negative,6,Marla Nunez,,,2023-07-17,0,0,1,,
"Great, clear and timely communication and delivery ",positive,10,Salwa Rboub,,,2023-07-18,1,0,0,,
A big thank you to Mr. Harish Venugopalan for the explanations given and for the effort to do everithing right.,positive,9,Harish V.,,,2023-07-18,1,0,0,,
Very good 👍,positive,10,Minas Elie C.,,,2023-07-18,1,0,0,,
"Thank you for the excellent service
",positive,10,Moamen Mohamed,,,2023-07-18,1,0,0,,
"The price is higher, and I would like you are looking for the price ",positive,9,Minas Elie C.,,,2023-07-18,1,0,0,,
"Expedite the delivery of the customer's vehicle 
Because the delay prevents the customer from doing his job without a vehicle ",negative,10,Faisal AliAhmed,,,2023-07-18,1,0,0,,
"For me to take my car for service it was not pleasant and I was disappointed at the service and treatment o had from the people i spoke with at the service centre or at sales when i informed them of my car issue and had to complain to AD Government to get the attention needed to resolve the issue. however, talking to Mr. Mohammed and his dedication to help resolve the issues of my car I thank him for that. ",negative,10,Mohamed Mohsen,,,2023-07-18,1,0,0,,
The leather on the seat was not fixed in a professional way,negative,1,Nabeel A.,,,2023-07-18,0,0,1,,
Excellent service … clearly explained Thank you .,positive,10,Md Sekander,,,2023-07-19,1,0,0,,
"Excellence service, thank you so much. ",positive,10,Juan Kasilag,,,2023-07-19,1,0,0,,
Best experience from the team,positive,10,Md Sekander,,,2023-07-19,1,0,0,,
"It is clear that the goal of Al Masaood is not to spend on free maintenance contracts and to procrastinate until the end of the contract. Until the customer is drained from his pocket. Al Masaood will not upgrade its services unless your goal is to make your customers happy by providing reliable and honest services. Unfortunately, the level of your services is no higher than the level of service provided by the smallest workshop in Mussafah",negative,4,Ronaldo P.,,,2023-07-19,0,0,1,,
The car was not washed properly,negative,10,Aswad Karim,,,2023-07-19,1,0,0,,
"Al Masoud is always the best but especially I would like to thank Mrs. Salwa she was so friendly and professional, I can't express how amazing she is 😊
You are lucky to have Salwa.

have a great day
Thank you",positive,10,Salwa Rboub,,,2023-07-20,1,0,0,,
"Mr Nabeel was very helpful indeed, he is the best and I always trust his advices
He is professional and gentleman, big thanks to him.
He is a star, Thanks Mr Nabeel",positive,10,Nabeel A.,,,2023-07-20,1,0,0,,
Excellent service ..thanks for Faisal Alshamsi,positive,10,Faisal AliAhmed,,,2023-07-20,1,0,0,,
"Thank you. I hope the delivery service will return after delivering the car to the workshop for free. Other than that, all 
An excellent thing",positive,10,Harish V.,,,2023-07-20,1,0,0,,
"Just I’d like to thank mr.Nabeel for doing his work professionally, and to thank the inside technicians who finish the checkups before the needed time professionally . Thank you guys.",positive,10,Nabeel A.,,,2023-07-20,1,0,0,,
The service at Airport road was very smooth and fast this time. Last time at Mussafah branch was not good and fast. I appreciate the excellent experience I had this time and which Al Masood to keep this up.,positive,10,Anandhakrishnan,,,2023-07-20,1,0,0,,
Nabeel was very helpful,positive,10,Nabeel A.,,,2023-07-20,1,0,0,,
Speed and bookings need to be improved,negative,10,Anandhakrishnan,,,2023-07-20,1,0,0,,
I would want some one from the team to contact me so I can explain my whole concern,negative,5,Kamal Al Saber,,,2023-07-20,0,0,1,,
Reduce maintenance prices,negative,5,Ronaldo P.,,,2023-07-20,0,0,1,,
"The car took 4 days in the workshop to replace a battery. From the beginning, I told them that the battery was faulty, but at first they insisted that the test results indicated that the battery was healthy. On the second day, they called me and confirmed that the battery was faulty, which led to a delay in the car in the workshop. From the beginning, I told them that the battery had failed ",negative,5,Minas Elie C.,,,2023-07-20,0,0,1,,
Good experience and a helpful advisor in Nabeel,positive,8,Nabeel A.,,,2023-07-22,0,1,0,,
Explain more in details what to be done for the service,positive,9,Nabeel A.,,,2023-07-22,1,0,0,,
Please call me for further details.,positive,5,Mahmoud Wahhab,,,2023-07-22,0,0,1,,
"Communication process, in case of rescheduling can be improved.
My service was originally booked for Friday (21-Jul-23) and accordingly my car was picked from home by RSA team on Friday and delivered at Service Center. Until Saturday morning, no one communicated me about this change of schedule and I keep wondering why my car not returned back on same day.
Except this communication gap, everything else was very good and satisfying.",negative,9,Shathe Kno,,,2023-07-22,1,0,0,,
Professional services and excellent customer service thanks a lot for all .,positive,10,Minas Elie C.,,,2023-07-24,1,0,0,,
"An employee who received me, received the car, delivered the car to me and explained everything. Excellent treatment. Thank you.",positive,10,Minas Elie C.,,,2023-07-24,1,0,0,,
"In each case, there is a decrease of 1000 kg in the next one ",positive,9,Faisal AliAhmed,,,2023-07-24,1,0,0,,
I wish you continued success,positive,10,Abuthahir T.S.,,,2023-07-24,1,0,0,,
Excellent service . Thanks,positive,10,Anandhakrishnan,,,2023-07-25,1,0,0,,
Thanks for the service,positive,10,Khalil Rahman,,,2023-07-25,1,0,0,,
Reduce the charges,negative,9,Nabeel A.,,,2023-07-25,1,0,0,,
Cheaper or more affordable prices,negative,8,Salwa Rboub,,,2023-07-25,0,1,0,,
"Excellent service provided by Mr Aswad Karim,advised for future services as well, good for waiting area provided water, tea and coffee happy to see all. 
Keep it up. 
Thank you ",positive,10,Aswad Karim,,,2023-07-26,1,0,0,,
"I thank Airport Street Center for the speed of completion. I thank Mr. Osman. He is one of the creative staff and has an excellent approach to dealing with customers 
Thank you very much ",positive,10,Mohammed Osman,,,2023-07-26,1,0,0,,
To be more transparency and more Honesty,positive,0,Shathe Kno,,,2023-07-26,0,0,1,,
Service representative explained very well nice person and dedicated to his work .well done,positive,9,Nabeel A.,,,2023-07-26,1,0,0,,
To maintain same service quality!,positive,10,Salwa Rboub,,,2023-07-26,1,0,0,,
Everything went perfectly,positive,10,Moamen Mohamed,,,2023-07-26,1,0,0,,
Always forward 👍,positive,10,Minas Elie C.,,,2023-07-26,1,0,0,,
All the staff is friendly and all know about everything you ask him about your car and will help you in the best way.,positive,10,Vivian Rodricks,,,2023-07-26,1,0,0,,
No explanation at the time of handover but said everything is done also to check the email for service report,negative,8,Nabeel A.,,,2023-07-26,0,1,0,,
I received the car without washing it,negative,10,Javad Amiri,,,2023-07-26,1,0,0,,
"The defects that occur in Nissan Petroleum cars have become frequent and beyond the scope of the driver being the cause. Please study this subject before you, so that the customer can be sure that what you offer exceeds the level of expectations.
Before, the car will return to you soon due to a traffic accident on July 27 in the morning 
With my comment on the subject of not leaving the air, it remains from its place with the force of the strike from the front 
Thanks ",negative,7,Md Sekander,,,2023-07-26,0,1,0,,
"Customer care representative was awesome, understanding, cooperative and very helpful ",positive,10,Salwa Rboub,,,2023-07-27,1,0,0,,
"Staff is very polite and helpful 
Quality of work is excellent ",positive,10,Mohd Noureldin,,,2023-07-27,1,0,0,,
There is no,positive,9,Harish V.,,,2023-07-27,1,0,0,,
"Service was great, but any notification of expiration of service period could be provided later.",positive,10,Juan Kasilag,,,2023-07-27,1,0,0,,
Looking for long term contracts at economical cost,negative,8,Marla Nunez,,,2023-07-27,0,1,0,,
Mohammed Habib is my goto person in Nissan Service. He makes my life easier.,positive,10,Muhammad Habib,,,2023-07-28,1,0,0,,
"Marla is by far the best service advisor I have ever dealt with. She is calm, very professional, knows how to treat clients and very smart.

I believe she should become promoted to be become service manager.

",positive,7,Marla Nunez,,,2023-07-28,0,1,0,,
Keep up the good work. Sekander provided excellent customer service.,positive,10,Md Sekander,,,2023-07-28,1,0,0,,
"Dear Al Masaood Service Team, 

First of all, thanks for you I had excellent experience in the Service Center in my first visit and thanks to Mr. Khalil Rahman he was helpful. 

I’m so sorry to raise this complaint here, but it concerns the Sales Department because last time I was unable to communicate the complaint to them in their survey questionnaire. Hope you look after my concern. 

I want to say that there is no transparency and clarity with customers from the sales department. I have already asked them to help me on the matter of (SD map card) for my car, that was not with the car upon receipt, and I told them about this issue several times, but there was no response. 

When I spoke to the sales manager Mr. Laith, he told me that he can’t find it because the car came without SD card, and he could not afford the cost of this memory card which is 3,600 AED 3 months after selling the car, and because the car is used so they didn’t know whether this part is available with car or not. Generally, I’m still waiting for solution to my concern. 

Thanks & Regards 
Khaled Al Jasmi

",negative,8,Khalil Rahman,,,2023-07-28,0,1,0,,
"Car took long time.
No report given of what service done or change.
They ask me to record video of everything/ sound will happen so basically drive and record sounds of engine while driving. Is that possible ",negative,8,Mahmoud Wahhab,,,2023-07-28,0,1,0,,
The delivery guy (after washing) has unfortunately put the whole weight of the car on P Parking which is not good at all for healthiness of gear for coming years (manual handbrake should be secured firstly),negative,6,Harish V.,,,2023-07-28,0,0,1,,
Continue at the same level and the current pattern as things are very excellent. Thank you very much,positive,10,Salwa Rboub,,,2023-07-29,1,0,0,,
Thank you for your attention and I wish you more progress and advancement to make your customers happy.,positive,10,Mahmoud Wahhab,,,2023-07-29,1,0,0,,
"All I can say is ""Thank you!"" for the great service and keep it up.",positive,10,Ali Musa,,,2023-07-29,1,0,0,,
"Reducing check prices because prices are very, very exaggerated. Thank you ",positive,6,Mohamed Mohsen,,,2023-07-29,0,0,1,,
Create an electronic file for the car so that the customer can know the work done by the maintenance department.,positive,8,Mohamed ElWazir,,,2023-07-29,0,1,0,,
"First of all, I would like to thank the customer service and especially to Mr. Mohammed 
Second, prices are rather high if you can change prices in future services 
thanks ",positive,10,Mohammed Osman,,,2023-07-29,1,0,0,,
"There are no notes 
Thank you very much to Al Masaood Motors team ",positive,10,Ali Musa,,,2023-07-29,1,0,0,,
The after service cleaning ha to improve.The engine compartment was full of dust.,negative,8,Salwa Rboub,,,2023-07-29,0,1,0,,
The price for service is still very high,negative,7,Harish V.,,,2023-07-29,0,1,0,,
Car door near service grease not applied and not cleaned well. Engine external area not cleaned properly. Compare to before service this time not cleaned properly in engine area.,negative,10,Shathe Kno,,,2023-07-29,1,0,0,,
All good and thanks for picking up and returning car,positive,10,Mohammed Osman,,,2023-07-31,1,0,0,,
Unfortunately when i received the car my sun shade cover is missing inside the car,negative,8,Nabeel A.,,,2023-07-31,0,1,0,,
"The recovery service should be more professional.
The last time the service was used, the recovery agent replaced the Nissan oil gear, the hand brake came down and the car was 45 degrees on the surface. The full weight of the car was hit on the gear and we heard the sound of its hit one day instead of the Qir.
Then I didn't use the service",negative,10,Nabeel A.,,,2023-07-31,1,0,0,,
"I am very dissatisfied with the service for not replacing some brake parts because the car has exceeded one hundred thousand kilometers, despite the fact that the car is under warranty and under maintenance service ",negative,0,Mohammed Osman,,,2023-07-31,0,0,1,,
Very good overall apart the cleaning of the interior which was not good,positive,10,Md Sekander,,,2023-08-01,1,0,0,,
Better follow up from the advisor,negative,6,Marla Nunez,,,2023-08-01,0,0,1,,
There is no feedback.. The experience was at the required level,negative,10,Marla Nunez,,,2023-08-01,1,0,0,,
"No body mention for me that i have to pay for taxi that will take me to hamdan street , and this should me free 

No hody mention for me that i have to pay to car cleaning , and also this should be free . 

The cleaning fof car was bad 

And this is why the overall experince is really bad ",negative,0,Ronaldo P.,,,2023-08-01,0,0,1,,
Maintaining and developing current family interaction,positive,10,Juan Kasilag,,,2023-08-02,1,0,0,,
"I am very sorry for saying this, but there weren't enough representatives present. I received a token around 1.15 pm, and they called me at 3.30 pm, even though only 6 people were waiting ahead of me. I arrived early, expecting to receive good service, including a proper car wash. However, due to a lack of your representatives, they denied me the car wash, and I feel that my car wasn't checked properly. I apologize again, but it was a very bad experience for me. It was my first service with Al Masood (1000 KM), first impression was very poor. ",negative,4,Aries M.,,,2023-08-02,0,0,1,,
"Service was done beyond the informed hours. No feedback was done on what was serviced. The car was dirty when I received it. Very bad first experience with your car services. 
",negative,3,Clifford P.,,,2023-08-02,0,0,1,,
"All my love and satisfaction to you. Especially the service consultant, Mr. Elias.",positive,10,Minas Elie C.,,,2023-08-03,1,0,0,,
Thanks for Ms. Salwa for her help and communication,positive,10,Salwa Rboub,,,2023-08-03,1,0,0,,
Service advisor (Mr Jun) was excellent and well experienced on handling customers needs. He gives precise updates and easy to deal with. Great guy!,positive,10,Juan Kasilag,,,2023-08-03,1,0,0,,
Keep always same level,positive,10,Marla Nunez,,,2023-08-03,1,0,0,,
"It is very hard to understand the service advisor English. She needs a bit of training on how to communicate as we can hardly understand her communication. 

Special thanks to his supervisor Mr. Parag for helping out, appreciated 🙏 ",negative,10,Shathe Kno,,,2023-08-03,1,0,0,,
My engine was not been wash in my 10000 km service . Car was not cleaned properly.,negative,6,Nabeel A.,,,2023-08-03,0,0,1,,
"My vehicle didn't open even after changing key battery. I called customer service through toll-free, they didn't respond for 3hours. I called once again, they promptly arranged recovery. I clearly told the service agent that I did my regular service one month before and this is emergency service to sort the issue. But they did repeat full service and no proper response for 3 days. When I pushed they handed over the car with an additional service charge of AED285 for their mistake. It was not a pleasant experience 😞",negative,0,Shathe Kno,,,2023-08-03,0,0,1,,
"Thank you for your exceptional service! The team's professionalism, attention to detail, and prompt communication made my car servicing experience a breeze. I truly appreciate your commitment to excellence.I would like to mention the name Clifford, as he is a great asset to the team.",positive,10,Clifford P.,,,2023-08-04,1,0,0,,
"I want to thank Salwa for following up and being very professional and clear about my service and helping me along the way. 

Salwa is by far the best Infiniti associate I have had the pleasure to deal with and I hope she is rewarded for her exemplary service ",positive,9,Salwa Rboub,,,2023-08-04,1,0,0,,
Fulfill the customer's request,positive,10,Md Sekander,,,2023-08-04,1,0,0,,
Just keep your quality and the kindness of the staff,positive,10,Juan Kasilag,,,2023-08-04,1,0,0,,
Chasing up for claiming warrant is a chaos. My car is on manufacturer warranty but was refused at first time and had to come back again so that they can just take a photo for approval. To be honest the advisor was really nice and supportive and I think it’s just the procedures which I am not happy about. Compared to the sales team the service Center is amazing when it comes to employees.,negative,6,Marla Nunez,,,2023-08-04,0,0,1,,
Thanks to them,positive,10,Nikhil Karnad,,,2023-08-05,1,0,0,,
It most be the good if the technician clean the engine compartment to remove the dust.,negative,10,Nabeel A.,,,2023-08-05,1,0,0,,
"Last year I bought the car battery in order to ensure high quality and to last me for more than a year, but I was surprised that the battery was damaged without any prior warning and one year before the warranty. Therefore, please choose a high quality product in order to continue to trust you. If such a situation occurs, you should increase the warranty date because we no longer have any confidence in your products. Thank you",negative,9,Aries M.,,,2023-08-05,1,0,0,,
I was waiting for the spare part for last six months still correct part not available,negative,10,Mohamed Mohsen,,,2023-08-05,1,0,0,,
Excellent Service and very accommodating and supportive staff.👍👍,positive,10,Vivian Rodricks,,,2023-08-06,1,0,0,,
Excellent service,positive,9,Charbel Semaan,,,2023-08-07,1,0,0,,
Thanks Nikhil for quick support.,positive,9,Nikhil Karnad,,,2023-08-07,1,0,0,,
Wireless charging very slow,negative,8,Juan Kasilag,,,2023-08-07,0,1,0,,
"Wasn’t happy about the service advisor he ignored my calls for 3 days then I texted him asking about my car, he replied that he is on emergency leave but didn’t do any handover.",negative,10,Muhammad Habib,,,2023-08-07,1,0,0,,
"Put less prices, the prices are too expensive!",negative,5,Marla Nunez,,,2023-08-07,0,0,1,,
The only issue that the car was only clean in front but the back area of the car was extremely dirty,negative,10,Nikhil Karnad,,,2023-08-07,1,0,0,,
All was perfect as always handled by Salwa,positive,10,Salwa Rboub,,,2023-08-08,1,0,0,,
"Why I gave this rating is
1 your customer number is not working after 5 pm 
I did not recieve any call from advisor I was keep on calling advisor he is not answering. I thought they have close without informing me or delivering me the car 
Then I call recovery service and they told that they received a call to pick my car 
Thanks God they r involved 
Then the advisor called me and saying sorry I didn’t pick ur call 
I am working as a doctor and even I have some patients I’m front of me I used to pick important calls and answer in 2-3 seconds and then review with patients 
Your advisor didn’t have that norm",negative,6,Khalil Rahman,,,2023-08-08,0,0,1,,
Thank you to Mr. Fiis Al Shamsi for the excellent service and I hope that he will be rewarded and appreciated,positive,10,Faisal AliAhmed,,,2023-08-09,1,0,0,,
"The overall experience was excellent. One recommendation to upgrade AL MASOOD with better experience. At least it should show my car service history, appointment proper update, other options.",positive,10,Juan Kasilag,,,2023-08-09,1,0,0,,
Price reduction,negative,8,Charbel Semaan,,,2023-08-09,0,1,0,,
"Thanks for all staff 
Everything is great ",positive,10,Clifford P.,,,2023-08-10,1,0,0,,
Front desk and the physical visit was fantastic the call service was not adequate Mussafa call service specifically,negative,6,Juan Kasilag,,,2023-08-10,0,0,1,,
Thank you for the good and excellent services.,positive,10,Aswad Karim,,,2023-08-11,1,0,0,,
"Everything else was good but car was not cleaned from insdie as i expected, looks like a rushed work. But overall i am satisfied.",positive,8,Anandhakrishnan,,,2023-08-11,0,1,0,,
